"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Ed Davis",3000,"Pho@Por 10:00PM ET",9.714,"Por"
"C","Alan Williams",3000,"Pho@Por 10:00PM ET",2.250,"Pho"
"PG","Devin Harris",3000,"Dal@LAL 10:30PM ET",0,"Dal"
"PG","Jose Calderon",3000,"Dal@LAL 10:30PM ET",7.500,"LAL"
"PG","Marcelo Huertas",3000,"Dal@LAL 10:30PM ET",9.500,"LAL"
"SG","Seth Curry",3000,"Dal@LAL 10:30PM ET",11.833,"Dal"
"SG","Nicolas Brussino",3000,"Dal@LAL 10:30PM ET",1.550,"Dal"
"SF","Metta World Peace",3000,"Dal@LAL 10:30PM ET",1.333,"LAL"
"PF","Quincy Acy",3000,"Dal@LAL 10:30PM ET",2.813,"Dal"
"PF","Thomas Robinson",3000,"Dal@LAL 10:30PM ET",1.083,"LAL"
"PF","Dorian Finney-Smith",3000,"Dal@LAL 10:30PM ET",3.600,"Dal"
"C","Salah Mejri",3000,"Dal@LAL 10:30PM ET",10.750,"Dal"
"C","A.J. Hammons",3000,"Dal@LAL 10:30PM ET",0.750,"Dal"
"C","Ivica Zubac",3000,"Dal@LAL 10:30PM ET",5.875,"LAL"
